"Date.noon","Temperature","Wind.Speed","Wind.direction.avg","Wind.direction","Chad.Baker","Hwy44","Highschool","Elementary.School","Levee","Ochsner.Hospital","Year","Month","Week"
2016-05-31,77.8818624044475,1.63439888811675,198.114988019274,"SSW",7.581,30.322,2.017,3.072,6.13,17.482,2016,5,22
2016-06-02,77.9437717466945,2.34293667362561,171.835138873166,"S",7.145,0.073,2.666,1.882,2.637,0.065,2016,6,22
2016-06-05,75.0860027855153,2.95814763231198,126.691944800065,"SE",11.099,0.018,0.341,4.969,20.493,0.809,2016,6,23
2016-06-09,83.4660416666667,2.81458333333333,119.21054957082,"ESE",5.477,0.624,1.251,3.409,4.824,4.679,2016,6,23
2016-06-12,80.2056289089646,2.18658790826963,209.30919990799,"SSW",5.368,0.983,5.441,0.573,0.272,1.277,2016,6,24
2016-06-15,80.8531293463143,2.74993045897079,230.416203173046,"SW",1.211,0.225,1.03,1.745,0.366,10.809,2016,6,24
2016-06-18,82.883441324694,2.92462203023758,302.972370985799,"WNW",7.871,4.298,0.268,1.89,2.702,2.981,2016,6,25
2016-06-21,81.2273106323836,2.43460736622655,152.122797113396,"SSE",5.078,0.018,1.037,1.396,0.413,0.686,2016,6,25
2016-06-24,82.3746527777778,2.15020833333333,193.950512072124,"SSW",0.305,6.819,0.018,0.018,0.43,7.544,2016,6,26
2016-06-27,85.78,2.200625,217.180462720829,"SW",0.163,1.191,0.417,0.018,0.04,1.614,2016,6,26
2016-06-30,80.1067454798331,2.48810848400556,99.4340814614284,"E",4.371,0.018,0.352,3.5,7.145,0.018,2016,6,26
2016-07-03,85.3143055555555,2.50423611111111,217.560887519206,"SW",0.018,0.054,1.694,0.018,0.018,4.28,2016,7,27
2016-07-06,84.6566759388039,3.50368567454798,224.656440451892,"SW",0.018,0.018,0.12,0.018,0.018,9.612,2016,7,27
2016-07-09,82.8616562282533,2.3553235908142,236.002257693631,"SW",1.708,4.751,0.762,0.345,1.882,6.329,2016,7,28
2016-07-12,80.2672916666667,2.08381944444444,199.370453491807,"SSW",6.891,1.226,2.532,5.622,0.722,0.232,2016,7,28
2016-07-15,77.8370833333333,2.06125,258.833449633055,"W",12.441,0.881,0.914,3.627,6.456,1.632,2016,7,29
2016-07-18,81.0629346314325,2.01599443671766,122.342168075618,"ESE",35.074,0.018,0.276,44.25,1.705,0.018,2016,7,29
2016-07-21,84.7269498607242,2.52325905292479,101.867700007725,"ESE",5.005,1.182,2.122,11.28,4.897,1.059,2016,7,29
2016-07-24,80.5135003479471,2.06402226861517,276.734910284965,"W",16.721,9.068,8.161,8.088,9.739,10.011,2016,7,30
2016-07-27,76.5611805555556,3.89118055555556,248.854490011941,"WSW",0.018,1.708,0.196,0.018,0.018,3.643,2016,7,30
2016-07-30,80.0812934631433,2.12294853963839,222.993651238811,"SW",2.488,5.295,2.67,3.148,6.347,10.99,2016,7,31
2016-08-02,84.0074357192495,2.31223071577484,188.739968637958,"S",0.254,0.881,1.864,10.337,16.757,6.257,2016,8,31
2016-08-05,80.7971811134602,2.17441860465116,75.9706095539776,"ENE",5.84,12.604,2.387,8.669,21.4,5.477,2016,8,32
2016-08-08,78.9494577006508,3.4527838033261,319.590797336188,"NW",0.417,5.422,1.629,0.569,2.771,0.827,2016,8,32
2016-08-11,77.4589298123697,2.70875608061154,278.032791595196,"W",0.018,12.803,0.018,0.018,0.649,2.33,2016,8,32
2016-08-14,76.8471160528145,3.23106323835997,184.154742730594,"S",NA,NA,NA,NA,NA,NA,2016,8,33
2016-08-23,81.8972916666667,1.79652777777778,93.4153809623343,"E",5.187,34.747,8.56,NA,NA,23.485,2016,8,34
2016-08-26,79.7525758645025,2.84135497529993,90.582324899629,"E",1.629,0.468,0.301,6.057,2.234,1.375,2016,8,35
