Site,238 Chad Baker,Acorn and Hwy 44,East St. John the Baptist High School,Fifth Ward Elementary School,Levee,Ochsner Hospital
5/31/2016,7.581,30.322,2.017,3.072,6.13,17.482
6/2/2016,7.145,0.073,2.666,1.882,2.637,0.065
6/5/2016,11.099,0.018,0.341,4.969,20.493,0.809
6/9/2016,5.477,0.624,1.251,3.409,4.824,4.679
6/12/2016,5.368,0.983,5.441,0.573,0.272,1.277
6/15/2016,1.211,0.225,1.03,1.745,0.366,10.809
6/18/2016,7.871,4.298,0.268,1.89,2.702,2.981
6/21/2016,5.078,0.018,1.037,1.396,0.413,0.686
6/24/2016,0.305,6.819,0.018,0.018,0.43,7.544
6/27/2016,0.163,1.191,0.417,0.018,0.04,1.614
6/30/2016,4.371,0.018,0.352,3.5,7.145,0.018
7/3/2016,0.018,0.054,1.694,0.018,0.018,4.28
7/6/2016,0.018,0.018,0.12,0.018,0.018,9.612
7/9/2016,1.708,4.751,0.762,0.345,1.882,6.329
7/12/2016,6.891,1.226,2.532,5.622,0.722,0.232
7/15/2016,12.441,0.881,0.914,3.627,6.456,1.632
7/18/2016,35.074,0.018,0.276,44.25,1.705,0.018
7/21/2016,5.005,1.182,2.122,11.28,4.897,1.059
7/24/2016,16.721,9.068,8.161,8.088,9.739,10.011
7/27/2016,0.018,1.708,0.196,0.018,0.018,3.643
7/30/2016,2.488,5.295,2.67,3.148,6.347,10.99
8/2/2016,0.254,0.881,1.864,10.337,16.757,6.257
8/5/2016,5.84,12.604,2.387,8.669,21.4,5.477
8/8/2016,0.417,5.422,1.629,0.569,2.771,0.827
8/11/2016,0.018,12.803,0.018,0.018,0.649,2.33
8/14/2016,,,,,,
8/23/2016,5.187,34.747,8.56,,,23.485
8/26/2016,1.629,0.468,0.301,6.057,2.234,1.375
8/29/2016,25.607,0.018,0.627,38.628,0.073,0.018
9/1/2016,0.798,0.018,0.018,12.042,8.088,0.018
9/4/2016,30.848,39.172,10.156,34.675,74.717,7.653
9/7/2016,33.804,2.205,2.169,3.438,2.144,1.168
9/10/2016,10.809,0.16,4.897,6.275,2.532,0.791
9/13/2016,45.157,0.018,0.12,16.104,0.232,0.018
9/16/2016,26.659,0.018,0.921,0.693,0.018,0.018
9/19/2016,0.018,0.105,0.018,0.018,1.317,0.069
9/22/2016,0.363,0.018,0.065,0.693,0.178,0.018
9/25/2016,0.123,0.073,0.127,0.105,0.548,0.018
9/28/2016,0.073,0.432,0.051,0.555,3.428,0.301
10/1/2016,0.051,0.018,0.018,0.018,10.428,0.018
10/4/2016,37.359,1.269,24.882,37.885,26.804,6.057
10/7/2016,32.752,0.403,1.375,5.749,4.244,0.704
10/10/2016,8.487,0.018,0.018,12.531,8.741,0.018
10/13/2016,18.824,0.018,3.565,1.728,1.269,0.258
10/16/2016,31.918,0.018,0.018,25.571,3.33,0.018
10/19/2016,11.987,0.018,1.701,0.232,0.018,0.018
10/22/2016,0.41,0.018,0.018,0.018,11.57,0.073
10/25/2016,29.814,57.307,12.006,33.042,66.375,43.525
10/28/2016,24.99,0.018,0.073,11.498,11.933,0.018
10/31/2016,5.042,17.519,16.249,1.973,29.633,27.529
11/3/2016,18.861,0.018,0.018,66.375,2.3,0.018
11/6/2016,33.877,0.537,0.102,28.908,3.116,0.12
11/9/2016,0.921,0.018,0.018,16.848,0.018,0.018
11/12/2016,0.221,0.018,15.089,2.173,0.018,0.018
11/15/2016,0.018,106.273,0.268,0.018,54.768,59.846
11/18/2016,16.866,0.827,3.506,23.431,0.21,0.831
11/21/2016,8.27,153.424,0.388,1.607,146.895,66.738
11/24/2016,2.815,5.658,0.87,1.019,17.083,3.754
11/27/2016,3.736,0.018,0.018,5.241,4.897,0.018
11/30/2016,0.018,0.018,0.06,0.018,0.802,0.218
12/3/2016,40.804,0.044,0.018,0.979,0.018,0.018
12/6/2016,2.416,3.48,0.413,0.635,0.018,0.787
12/9/2016,0.018,0.018,0.018,0.446,0.537,0.018
12/12/2016,0.018,0.196,2.387,0.018,0.381,2.441
12/15/2016,0.018,0.018,0.018,0.018,21.291,0.018
12/18/2016,0.018,0.018,0.018,0.018,8.814,2.22
12/21/2016,40.26,1.708,0.889,38.628,17.446,3.214
12/24/2016,25.861,0.018,0.82,20.928,10.627,0.018
12/27/2016,16.684,0.649,1.106,16.721,0.812,0.232
12/30/2016,3.177,0.018,0.018,4.824,17.627,0.018
1/2/2017,19.55,3.061,2.934,0.664,0.018,2.822
1/5/2017,33.151,0.018,0.577,17.519,4.679,0.018
1/8/2017,1.277,0.018,0.018,1.806,,0.018
1/11/2017,0.018,0.018,20.384,0.018,0.018,0.083
1/14/2017,19.985,0.018,0.018,75.08,0.381,0.018
1/17/2017,0.018,0.036,10.809,0.018,0.036,0.522
1/20/2017,0.018,7.762,0.145,0.018,0.018,1.884
1/23/2017,0.018,6.112,0.018,0.018,0.018,0.018
1/26/2017,0.037,0.037,0.037,0.037,0.939,0.297
1/29/2017,0.037,0.352,0.037,0.037,0.037,0.037
